latitude,longitude,population
31.22222,121.45806,22315474
-34.61315,-58.37723,13076300
19.07283,72.88261,12691836
19.42847,-99.12766,12294193
39.9075,116.39723,11716620
24.9056,67.0822,11624219
41.01384,28.94966,11174257
39.14222,117.17667,11090314
23.11667,113.25,11071424
28.65381,77.22897,10927986
14.6042,120.9822,10444527
55.75222,37.61556,10381222
22.54554,114.0683,10358381
23.7104,90.40744,10356500
37.566,126.9784,10349312
-23.5475,-46.63611,10021295
30.58333,114.26667,9785388
6.45407,3.39467,9000000
-6.21462,106.84513,8540121
35.6895,139.69171,8336599
40.71427,-74.00597,8175133
23.04889,113.74472,8000000
25.04776,121.53185,7871900
-4.32758,15.31357,7785965
-12.04318,-77.02824,7737002
30.06263,31.24967,7734614
4.60971,-74.08175,7674366
51.50853,-0.12574,7556900
51.51279,-0.09184,7556900
29.56278,106.55278,7457600
30.66667,104.06667,7415590
32.06167,118.77778,7165292
35.69439,51.42151,7153309
30.79508,106.08473,7150000
22.28552,114.15769,7012738
34.25833,108.92861,6501190
31.54972,74.34361,6310888
41.79222,123.43278,6255921
30.29365,120.16142,6241971
-22.90278,-43.2075,6023699
45.75,126.65,5878939
33.34058,44.40088,5672513
36.18528,117.12,5499000
31.30408,120.59538,5345961
23.36814,116.71479,5329024
13.75398,100.50144,5104476
12.97194,77.59369,5104047
59.93863,30.31413,5028000
-33.45694,-70.64827,4837295
22.56263,88.36304,4631392